Model,Metric,CI Lower,CI Upper
Improved CNN,Accuracy,0.7451923076923077,0.8076923076923077
Improved CNN,Sensitivity,0.9678262561618957,0.9947643979057592
Improved CNN,Specificity,0.3705357142857143,0.49510484749455336
Improved CNN,F1,0.8208558311216864,0.8698619139181983
Improved CNN,ROC-AUC,0.8930879661080515,0.9395935865519379
ResNet-18,Accuracy,0.8365384615384616,0.8894230769230769
ResNet-18,Sensitivity,0.9451697127937336,0.9812332439678284
ResNet-18,Specificity,0.6363636363636364,0.7555691056910568
ResNet-18,F1,0.8766097772510417,0.9189848856209151
ResNet-18,ROC-AUC,0.9243086649811108,0.9611032010637196
