index,filepath,true_label,target_class,original_probability,cam_region_blur_probability,cam_region_probability_drop,random_region_blur_probability,random_region_probability_drop,cam_minus_random_drop
0,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0001-0001.jpeg,0,1,0.6051357388496399,0.21868205070495605,0.38645368814468384,0.10288555920124054,0.5022501796483994,-0.11579649150371552
1,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0003-0001.jpeg,0,0,0.6049791574478149,0.03338209539651871,0.5715970620512962,0.7574688792228699,-0.15248972177505493,0.7240867838263512
2,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0005-0001.jpeg,0,0,0.6429629921913147,0.2284160703420639,0.4145469218492508,0.9109365344047546,-0.26797354221343994,0.6825204640626907
3,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0006-0001.jpeg,0,0,0.8215945959091187,0.06601709872484207,0.7555774971842766,0.8295733332633972,-0.007978737354278564,0.7635562345385551
4,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0007-0001.jpeg,0,0,0.8149512410163879,0.24523144960403442,0.5697197914123535,0.903335452079773,-0.08838421106338501,0.6581040024757385
5,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0009-0001.jpeg,0,0,0.9756110310554504,0.7032681703567505,0.27234286069869995,0.9802716374397278,-0.004660606384277344,0.2770034670829773
6,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0010-0001.jpeg,0,0,0.802305281162262,0.19801044464111328,0.6042948365211487,0.9777593612670898,-0.17545408010482788,0.7797489166259766
7,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0011-0001-0001.jpeg,0,0,0.5502525568008423,0.1479940563440323,0.40225850045681,0.5884066820144653,-0.03815412521362305,0.44041262567043304
8,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0011-0001-0002.jpeg,0,1,0.9790794849395752,0.772553026676178,0.20652645826339722,0.9358531832695007,0.04322630167007446,0.16330015659332275
9,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0011-0001.jpeg,0,0,0.9287189841270447,0.01657448336482048,0.9121445007622242,0.1991802155971527,0.729538768529892,0.18260573223233223
10,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0013-0001.jpeg,0,0,0.8256043195724487,0.015910467132925987,0.8096938524395227,0.6636084318161011,0.16199588775634766,0.6476979646831751
11,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0015-0001.jpeg,0,1,0.9968738555908203,0.9146687984466553,0.08220505714416504,0.700238823890686,0.2966350317001343,-0.21442997455596924
12,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0016-0001.jpeg,0,0,0.6534222960472107,0.11062058061361313,0.5428017154335976,0.9539828896522522,-0.3005605936050415,0.8433623090386391
13,D:\pneumonia-data\chest-xray\chest_xray\test\NORMAL\IM-0017-0001.jpeg,0,0,0.9518513679504395,0.0409960076212883,0.9108553603291512,0.980523407459259,-0.02867203950881958,0.9395273998379707
